hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0,60,-1.05715,-0.347531,-0.926998,-0.304436,-0.815285,-0.26781
0,120,-1.05694,-0.347139,-0.956612,-0.314429,-0.792403,-0.260388
0,180,-1.12596,-0.369906,-0.956661,-0.31449,-0.892518,-0.293162
0,240,-1.3362,-0.439082,-0.95663,-0.314518,-1.0658,-0.349938
0,300,-1.39639,-0.459112,-1.01672,-0.334033,-1.34832,-0.442659
0,360,-1.3364,-0.439188,-1.1348,-0.372697,-1.38851,-0.456117
0,420,-1.44829,-0.476009,-1.13489,-0.372896,-1.43875,-0.472421
0,480,-1.54852,-0.50901,-1.13485,-0.372938,-1.54705,-0.507832
0,540,-1.54859,-0.509246,-1.13486,-0.37275,-1.69951,-0.557828
0,600,-3.98366,-1.3051,-1.1338,-0.374518,-1.5631,-0.511311
0,660,-1.77788,-0.584531,-1.07453,-0.353068,-1.73267,-0.568438
0,720,-1.77764,-0.584702,-1.07456,-0.353048,-1.9284,-0.632482
0,780,-1.71748,-0.564828,-1.07446,-0.352992,-1.92854,-0.632641
0,840,-1.71731,-0.564998,-1.07451,-0.352951,-2.05413,-0.673689
0,900,-1.71737,-0.564792,-1.07437,-0.353019,-1.99398,-0.654047
0,960,-1.67719,-0.551826,-1.07449,-0.352883,-2.11032,-0.692179
0,1020,-1.67628,-0.55389,-1.1752,-0.384638,-4.11822,-1.34883
0,1080,-1.67642,-0.552766,-1.17415,-0.384982,-4.11966,-1.34949
0,1140,-1.67647,-0.552656,-1.17411,-0.385032,-4.05414,-1.32812
0,1200,-1.7175,-0.563595,-1.11339,-0.366533,-1.98599,-0.651748
0,1260,-1.71737,-0.564764,-1.11451,-0.366183,-1.98472,-0.65109
0,1320,-1.71736,-0.564789,-1.11452,-0.366174,-1.99777,-0.655358
0,1380,-1.93978,-0.637809,-1.11444,-0.366377,-2.01485,-0.660763
0,1440,-2.12336,-0.698744,-0.996371,-0.327593,-2.26887,-0.743408
0,1500,-2.12379,-0.698642,-1.16618,-0.383143,-2.39326,-0.784591
0,1560,-2.08743,-0.687008,-1.16635,-0.383077,-2.51402,-0.824015
0,1620,-2.08743,-0.686796,-1.16621,-0.383167,-2.44992,-0.803054
0,1680,-2.08742,-0.686823,-1.16624,-0.383161,-2.44989,-0.803037
0,1740,-2.20675,-0.726275,-1.16624,-0.383243,-2.65074,-0.868551
0,1800,-2.20691,-0.726351,-1.22623,-0.402772,-2.7812,-0.911455
0,1860,-2.26612,-0.744855,-1.16594,-0.383446,-2.38618,-0.78241
0,1920,-2.26603,-0.745213,-1.12624,-0.370231,-2.36574,-0.775552
0,1980,-2.25704,-0.742256,-1.12622,-0.37019,-2.36573,-0.775578
0,2040,-2.257,-0.742295,-1.12623,-0.370179,-2.40087,-0.787073
0,2100,-2.25703,-0.742218,-1.1262,-0.370208,-2.36073,-0.773948
0,2160,-2.25703,-0.742191,-1.23032,-0.404309,-2.42086,-0.79382
0,2220,-2.37732,-0.781723,-1.23035,-0.404526,-2.46109,-0.806771
0,2280,-2.37753,-0.781666,-1.23031,-0.404482,-2.46804,-0.809157
0,2340,-2.37751,-0.781718,-1.23037,-0.404471,-2.468,-0.809129
0,2400,-2.36594,-0.777574,-1.23026,-0.404681,-2.38676,-0.782501
0,2460,-2.366,-0.777826,-1.23039,-0.40455,-2.39661,-0.7857
0,2520,-2.366,-0.77777,-1.38443,-0.455138,-2.43676,-0.798959
0,2580,-2.46648,-0.810606,-1.3844,-0.455356,-2.38963,-0.783378
0,2640,-2.61033,-0.857933,-1.38439,-0.455435,-2.39662,-0.785424
0,2700,-2.30557,-0.758259,-1.38454,-0.454895,-2.61546,-0.857384
0,2760,-2.12161,-0.697761,-1.38449,-0.454812,-2.60065,-0.852754
0,2820,-1.98575,-0.653212,-1.3035,-0.42818,-2.60082,-0.852829
0,2880,-1.98559,-0.653098,-1.30345,-0.428282,-2.60092,-0.85283
0,2940,-2.05729,-0.676936,-1.30353,-0.428122,-2.7054,-0.887049
0,3000,-2.18163,-0.717764,-1.46768,-0.482036,-2.9205,-0.957545
0,3060,-2.18174,-0.717501,-1.56786,-0.514964,-2.8361,-0.930135
0,3120,-2.18168,-0.717368,-1.70029,-0.558356,-2.83593,-0.930321
0,3180,-2.18157,-0.717318,-1.70044,-0.558497,-2.77567,-0.910512
0,3240,-2.18152,-0.717377,-1.81085,-0.594508,-2.93425,-0.962673
0,3300,-2.096,-0.689839,-1.81104,-0.594199,-3.17073,-1.04004
0,3360,-2.46842,-0.8119,-1.96479,-0.64538,-3.33795,-1.09432
0,3420,-2.40861,-0.792397,-1.96489,-0.644995,-3.372,-1.10568
0,3480,-2.40859,-0.792116,-2.06512,-0.677912,-3.32167,-1.08945
0,3540,-2.65974,-0.873813,-2.32409,-0.763313,-3.30619,-1.08467
1,0,-2.65973,-0.874266,-2.32458,-0.763229,-3.3955,-1.11377
1,60,-2.6605,-0.872655,-2.19391,-0.721617,-2.24543,-0.737086
1,120,-2.3892,-0.784187,-2.37971,-0.781302,-2.24443,-0.737562
1,180,-2.27041,-0.745011,-2.38,-0.781726,-2.12926,-0.699651
1,240,-2.27058,-0.74421,-2.66459,-0.875179,-1.91424,-0.6297
1,300,-2.26992,-0.745191,-2.57574,-0.845589,-2.28138,-0.74968
1,360,-2.27024,-0.74455,-2.57533,-0.845856,-2.10397,-0.691654
1,420,-2.3865,-0.782403,-2.57546,-0.846214,-1.83303,-0.602715
1,480,-2.2018,-0.722048,-2.69444,-0.884554,-1.83271,-0.603012
1,540,-2.12998,-0.69881,-2.59422,-0.851625,-1.83291,-0.602878
1,600,-1.9694,-0.64644,-2.46149,-0.807796,-1.83304,-0.602899
1,660,-1.85339,-0.607928,-2.46126,-0.808021,-1.66979,-0.549333
1,720,-1.85328,-0.608247,-2.2964,-0.754072,-1.66982,-0.548995
1,780,-1.81327,-0.595286,-2.47802,-0.813017,-1.98844,-0.654029
1,840,-1.90342,-0.62454,-2.47793,-0.813462,-1.92054,-0.631569
1,900,-1.90355,-0.624654,-2.47798,-0.813383,-1.92043,-0.631559
1,960,-1.90327,-0.625318,-2.26295,-0.742724,-2.1114,-0.693728
1,1020,-1.90349,-0.625233,-2.15795,-0.708453,-2.14459,-0.704582
1,1080,-2.08626,-0.684416,-2.47146,-0.811284,-2.11011,-0.693931
1,1140,-2.26034,-0.742031,-2.31703,-0.761062,-2.11016,-0.693229
1,1200,-2.39815,-0.787083,-2.31672,-0.761082,-2.11006,-0.693201
1,1260,-2.55359,-0.838107,-2.31667,-0.761141,-2.10997,-0.693118
1,1320,-2.77588,-0.911065,-2.06761,-0.680006,-2.11013,-0.692487
1,1380,-2.73929,-0.89907,-2.06742,-0.679588,-2.10992,-0.692693
1,1440,-2.77937,-0.912493,-1.86769,-0.61425,-2.11011,-0.692294
1,1500,-2.66361,-0.874012,-2.12885,-0.699923,-2.03675,-0.668694
1,1560,-2.86951,-0.941609,-2.02566,-0.666554,-2.03684,-0.668167
1,1620,-2.76354,-0.906527,-2.25795,-0.742566,-1.85012,-0.607401
1,1680,-2.92012,-0.957824,-2.25799,-0.743011,-1.85013,-0.607078
1,1740,-3.16094,-1.03637,-2.45811,-0.809141,-1.85,-0.606936
1,1800,-3.16125,-1.03659,-2.45824,-0.808977,-1.84982,-0.606929
1,1860,-3.4415,-1.12776,-2.45796,-0.809714,-1.73263,-0.568175
1,1920,-3.62655,-1.18807,-2.45792,-0.809885,-1.64222,-0.538445
1,1980,-3.62684,-1.18828,-2.458,-0.80972,-1.64202,-0.538442
