hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0,60,252.113,-30.0076,0,0,0.150309,-48.2024,0.150309,131.798
0,120,252.114,-30.0073,0,0,0.150308,-48.2022,0.150308,131.798
0,180,252.108,-30.0084,0,0,0.150311,-48.2032,0.150311,131.797
0,240,252.09,-30.0108,0,0,0.150322,-48.2056,0.150322,131.794
0,300,252.086,-30.0129,0,0,0.150324,-48.2076,0.150324,131.792
0,360,252.095,-30.0123,0,0,0.15032,-48.2072,0.15032,131.793
0,420,252.085,-30.0133,0,0,0.150325,-48.2081,0.150325,131.792
0,480,252.076,-30.0146,0,0,0.15033,-48.2094,0.15033,131.791
0,540,252.077,-30.0157,0,0,0.15033,-48.2105,0.15033,131.79
0,600,251.856,-30.0281,0,0,0.150462,-48.223,0.150462,131.777
0,660,252.054,-30.0174,0,0,0.150344,-48.2123,0.150344,131.788
0,720,252.055,-30.0188,0,0,0.150343,-48.2136,0.150343,131.786
0,780,252.06,-30.0185,0,0,0.15034,-48.2134,0.15034,131.787
0,840,252.061,-30.0194,0,0,0.15034,-48.2142,0.15034,131.786
0,900,252.061,-30.019,0,0,0.15034,-48.2139,0.15034,131.786
0,960,252.065,-30.0196,0,0,0.150338,-48.2144,0.150338,131.786
0,1020,252.073,-30.0334,0,0,0.150333,-48.2276,0.150333,131.772
0,1080,252.073,-30.0334,0,0,0.150333,-48.2283,0.150333,131.772
0,1140,252.073,-30.033,0,0,0.150333,-48.2279,0.150333,131.772
0,1200,252.062,-30.0188,0,0,0.150339,-48.2143,0.150339,131.786
0,1260,252.062,-30.0187,0,0,0.150339,-48.2136,0.150339,131.786
0,1320,252.062,-30.0188,0,0,0.150339,-48.2137,0.150339,131.786
0,1380,252.042,-30.0202,0,0,0.150351,-48.215,0.150351,131.785
0,1440,252.023,-30.0234,0,0,0.150362,-48.2181,0.150362,131.782
0,1500,252.027,-30.0236,0,0,0.15036,-48.2185,0.15036,131.781
0,1560,252.031,-30.0243,0,0,0.150358,-48.2191,0.150358,131.781
0,1620,252.031,-30.0238,0,0,0.150358,-48.2187,0.150358,131.781
0,1680,252.031,-30.0238,0,0,0.150358,-48.2187,0.150358,131.781
0,1740,252.02,-30.0259,0,0,0.150363,-48.2207,0.150363,131.779
0,1800,252.022,-30.0266,0,0,0.150363,-48.2215,0.150363,131.779
0,1860,252.014,-30.0244,0,0,0.150367,-48.2195,0.150367,131.781
0,1920,252.013,-30.0244,0,0,0.150368,-48.2193,0.150368,131.781
0,1980,252.014,-30.0243,0,0,0.150368,-48.2192,0.150368,131.781
0,2040,252.014,-30.0246,0,0,0.150367,-48.2194,0.150367,131.781
0,2100,252.014,-30.0243,0,0,0.150368,-48.2192,0.150368,131.781
0,2160,252.017,-30.0243,0,0,0.150366,-48.2192,0.150366,131.781
0,2220,252.006,-30.0252,0,0,0.150372,-48.2201,0.150372,131.78
0,2280,252.006,-30.0253,0,0,0.150372,-48.2202,0.150372,131.78
0,2340,252.006,-30.0253,0,0,0.150372,-48.2202,0.150372,131.78
0,2400,252.007,-30.0247,0,0,0.150372,-48.2196,0.150372,131.78
0,2460,252.007,-30.0247,0,0,0.150372,-48.2196,0.150372,131.78
0,2520,252.011,-30.0244,0,0,0.150369,-48.2193,0.150369,131.781
0,2580,252.002,-30.0246,0,0,0.150375,-48.2195,0.150375,131.781
0,2640,251.989,-30.0254,0,0,0.150382,-48.2203,0.150382,131.78
0,2700,252.017,-30.0253,0,0,0.150366,-48.2201,0.150366,131.78
0,2760,252.034,-30.0242,0,0,0.150356,-48.2191,0.150356,131.781
0,2820,252.044,-30.0238,0,0,0.15035,-48.2187,0.15035,131.781
0,2880,252.044,-30.0238,0,0,0.15035,-48.2187,0.15035,131.781
0,2940,252.029,-30.0245,0,0,0.801912,-48.2193,0.801912,131.781
0,3000,252.023,-30.026,0,0,0.801932,-48.2208,0.801932,131.779
0,3060,252.025,-30.025,0,0,0.801925,-48.2199,0.801925,131.78
0,3120,252.029,-30.0245,0,0,0.801915,-48.2194,0.801915,131.781
0,3180,252.028,-30.024,0,0,0.801914,-48.2189,0.801914,131.781
0,3240,252.032,-30.0247,0,0,0.801905,-48.2196,0.801905,131.78
0,3300,252.04,-30.0259,0,0,0.801879,-48.2207,0.801879,131.779
0,3360,252.011,-30.0285,0,0,0.801967,-48.2233,0.801967,131.777
0,3420,252.016,-30.0284,0,0,0.801954,-48.2233,0.801954,131.777
0,3480,252.019,-30.0277,0,0,0.801946,-48.2226,0.801946,131.777
0,3540,252.003,-30.0279,0,0,0.801995,-48.2229,0.801995,131.777
1,0,252.003,-30.0285,0,0,0.801996,-48.2233,0.801996,131.777
1,60,251.996,-30.0209,0,0,0.802015,-48.2161,0.802015,131.784
1,120,252.026,-30.0186,0,0,0.801928,-48.2136,0.801928,131.786
1,180,252.036,-30.0172,0,0,0.80189,-48.2121,0.80189,131.788
1,240,252.043,-30.0145,0,0,0.80187,-48.2095,0.80187,131.79
1,300,252.042,-30.0174,0,0,0.801872,-48.2121,0.801872,131.788
1,360,252.041,-30.0162,0,0,0.801874,-48.2111,0.801874,131.789
1,420,252.024,-30.0145,0,0,1.28643,-48.2095,1.28643,131.79
1,480,252.043,-30.013,0,0,1.28633,-48.208,1.28633,131.792
1,540,252.047,-30.0131,0,0,1.28631,-48.2079,1.28631,131.792
1,600,252.059,-30.0127,0,0,1.28625,-48.2075,1.28625,131.792
1,660,252.077,-30.0114,0,0,0.634727,-48.2063,0.634727,131.794
1,720,252.073,-30.0121,0,0,0.634737,-48.2069,0.634737,131.793
1,780,252.082,-30.0134,0,0,0.634716,-48.2082,0.634716,131.792
1,840,252.074,-30.0134,0,0,0.634735,-48.2083,0.634735,131.792
1,900,252.074,-30.0134,0,0,0.634736,-48.2083,0.634736,131.792
1,960,252.068,-30.0156,0,0,0.634747,-48.2103,0.634747,131.79
1,1020,252.066,-30.0163,0,0,0.634754,-48.2111,0.634754,131.789
1,1080,252.057,-30.0158,0,0,0.634777,-48.2108,0.634777,131.789
1,1140,252.038,-30.0173,0,0,0.634824,-48.2121,0.634824,131.788
1,1200,252.025,-30.0181,0,0,0.634856,-48.213,0.634856,131.787
1,1260,252.011,-30.0189,0,0,0.634892,-48.2138,0.634892,131.786
1,1320,251.984,-30.0212,0,0,0.634956,-48.216,0.634956,131.784
1,1380,251.988,-30.021,0,0,0.634952,-48.2159,0.634952,131.784
1,1440,251.979,-30.022,0,0,0.634972,-48.2168,0.634972,131.783
1,1500,252.002,-30.0201,0,0,0.150375,-48.2151,0.150375,131.785
1,1560,251.981,-30.0217,0,0,0.150387,-48.2165,0.150387,131.783
1,1620,251.996,-30.0188,0,0,0.150379,-48.2138,0.150379,131.786
1,1680,251.982,-30.0197,0,0,0.150386,-48.2146,0.150386,131.785
1,1740,251.965,-30.0202,0,0,0.150396,-48.2151,0.150396,131.785
1,1800,251.965,-30.0202,0,0,0.150397,-48.2151,0.150397,131.785
1,1860,251.939,-30.0209,0,0,0.150411,-48.2158,0.150411,131.784
1,1920,251.922,-30.0213,0,0,0.150422,-48.2162,0.150422,131.784
1,1980,251.922,-30.0213,0,0,0.150422,-48.2162,0.150422,131.784
1,2040,251.928,-30.021,0,0,0.150419,-48.2158,0.150419,131.784
1,2100,251.923,-30.0216,0,0,0.150422,-48.2164,0.150422,131.784
1,2160,251.933,-30.021,0,0,0.150416,-48.2159,0.150416,131.784
1,2220,251.925,-30.0207,0,0,0.150421,-48.2157,0.150421,131.784
1,2280,251.921,-30.0203,0,0,0.150423,-48.2152,0.150423,131.785
1,2340,251.912,-30.0196,0,0,0.150428,-48.2146,0.150428,131.785
1,2400,251.898,-30.0203,0,0,0.150436,-48.2152,0.150436,131.785
1,2460,251.923,-30.0189,0,0,0.150423,-48.2138,0.150423,131.786
1,2520,251.942,-30.0212,0,0,0.150411,-48.2159,0.150411,131.784
1,2580,251.937,-30.021,0,0,0.150413,-48.216,0.150413,131.784
1,2640,251.94,-30.0208,0,0,0.150412,-48.2157,0.150412,131.784
1,2700,251.939,-30.0209,0,0,0.150412,-48.2158,0.150412,131.784
1,2760,251.941,-30.0218,0,0,0.150411,-48.2166,0.150411,131.783
1,2820,251.963,-30.0204,0,0,0.150399,-48.2153,0.150399,131.785
1,2880,251.977,-30.0201,0,0,0.15039,-48.2149,0.15039,131.785
1,2940,251.993,-30.0183,0,0,0.15038,-48.2132,0.15038,131.787
1,3000,252.026,-30.0163,0,0,0.150361,-48.2112,0.150361,131.789
1,3060,252.007,-30.018,0,0,0.150372,-48.2128,0.150372,131.787
1,3120,252.009,-30.0178,0,0,0.150371,-48.2127,0.150371,131.787
1,3180,251.998,-30.0185,0,0,0.150377,-48.2134,0.150377,131.787
1,3240,252.011,-30.0177,0,0,0.150369,-48.2126,0.150369,131.787
1,3300,252.014,-30.0173,0,0,0.150368,-48.2122,0.150368,131.788
1,3360,252.014,-30.0173,0,0,0.150367,-48.2122,0.150367,131.788
1,3420,252.012,-30.0191,0,0,0.150369,-48.2138,0.150369,131.786
1,3480,252.028,-30.0173,0,0,0.150359,-48.2122,0.150359,131.788
1,3540,252.025,-30.0176,0,0,0.150361,-48.2124,0.150361,131.788
2,0,252.028,-30.0169,0,0,0.150359,-48.2118,0.150359,131.788
2,60,252.076,-30.0149,0,0,0.150332,-48.2097,0.150332,131.79
2,120,252.079,-30.0124,0,0,0.150329,-48.2074,0.150329,131.793
2,180,252.049,-30.0142,0,0,0.150346,-48.209,0.150346,131.791
2,240,252.031,-30.0155,0,0,0.150357,-48.2103,0.150357,131.79
2,300,252.031,-30.0155,0,0,0.150357,-48.2104,0.150357,131.79
2,360,252.032,-30.017,0,0,0.150357,-48.2118,0.150357,131.788
2,420,252.032,-30.017,0,0,0.150357,-48.2119,0.150357,131.788
2,480,252.032,-30.017,0,0,0.150357,-48.2119,0.150357,131.788
2,540,252.032,-30.0183,0,0,0.150357,-48.2131,0.150357,131.787
2,600,252.04,-30.017,0,0,0.150352,-48.212,0.150352,131.788
